iter	Passed	Remaining
0	125	125020
1	126	63038
2	127	42377
3	128	32035
4	129	25823
5	130	21694
6	132	18739
7	133	16524
8	134	14800
9	135	13421
10	136	12297
11	137	11357
12	139	10559
13	140	9878
14	141	9284
15	142	8764
16	143	8308
17	144	7899
18	145	7535
19	147	7205
20	148	6907
21	149	6634
22	150	6392
23	151	6170
24	153	5968
25	154	5774
26	155	5595
27	156	5427
28	157	5272
29	158	5129
30	159	4993
31	160	4865
32	161	4745
33	163	4632
34	164	4528
35	165	4434
36	166	4340
37	167	4252
38	169	4166
39	170	4085
40	171	4010
41	172	3936
42	173	3865
43	174	3797
44	175	3732
45	177	3671
46	178	3612
47	179	3556
48	180	3503
49	181	3454
50	182	3403
51	184	3355
52	185	3308
53	186	3262
54	187	3219
55	188	3176
56	189	3136
57	190	3096
58	191	3058
59	192	3021
60	193	2985
61	195	2952
62	196	2924
63	197	2892
64	198	2860
65	199	2829
66	201	2799
67	202	2771
68	203	2743
69	204	2716
70	205	2689
71	206	2663
72	207	2638
73	208	2614
74	210	2591
75	211	2570
76	212	2547
77	213	2525
78	214	2504
79	215	2483
80	217	2462
81	218	2441
82	218	2416
83	219	2397
84	221	2380
85	222	2361
86	223	2344
87	224	2327
88	225	2311
89	226	2295
90	228	2278
91	229	2262
92	230	2246
93	231	2230
94	232	2216
95	233	2201
96	234	2185
97	235	2171
98	236	2156
99	238	2142
100	239	2129
101	240	2117
102	241	2104
103	242	2091
104	243	2078
105	244	2065
106	246	2053
107	247	2041
108	248	2029
109	249	2017
110	250	2005
111	251	1994
112	252	1983
113	253	1972
114	254	1962
115	256	1951
116	257	1939
117	258	1931
118	259	1921
119	260	1911
120	261	1900
121	262	1889
122	263	1880
123	264	1871
124	266	1862
125	267	1853
126	268	1842
127	269	1834
128	270	1826
129	271	1819
130	272	1810
131	273	1801
132	275	1793
133	276	1784
134	277	1777
135	278	1768
136	279	1760
137	280	1752
138	281	1745
139	282	1737
140	284	1730
141	284	1721
142	286	1714
143	287	1707
144	288	1700
145	289	1693
146	290	1686
147	291	1679
148	292	1672
149	293	1665
150	295	1659
151	296	1652
152	297	1646
153	298	1639
154	299	1633
155	301	1628
156	302	1624
157	303	1618
158	304	1612
159	306	1607
160	306	1599
161	308	1595
162	309	1589
163	310	1584
164	311	1577
165	312	1572
166	314	1567
167	315	1563
168	316	1558
169	318	1553
170	319	1547
171	320	1542
172	321	1537
173	322	1532
174	324	1529
175	326	1527
176	327	1524
177	329	1523
178	333	1528
179	334	1524
180	336	1524
181	338	1519
182	339	1515
183	340	1511
184	341	1506
185	343	1502
186	344	1498
187	346	1497
188	348	1494
189	349	1489
190	350	1486
191	352	1482
192	353	1477
193	354	1473
194	355	1469
195	357	1464
196	358	1460
197	359	1455
198	360	1452
199	362	1450
200	364	1447
201	365	1442
202	366	1437
203	367	1433
204	368	1429
205	369	1424
206	370	1420
207	372	1416
208	373	1412
209	374	1408
210	375	1404
211	377	1401
212	378	1397
213	379	1394
214	380	1389
215	381	1385
216	382	1381
217	384	1377
218	385	1373
219	386	1369
220	387	1365
221	388	1361
222	389	1357
223	390	1353
224	392	1350
225	393	1346
226	394	1343
227	395	1339
228	396	1335
229	397	1331
230	398	1327
231	399	1323
232	401	1320
233	402	1316
234	403	1312
235	404	1308
236	405	1305
237	406	1302
238	407	1298
239	409	1295
240	410	1291
241	411	1288
242	412	1284
243	413	1281
244	414	1277
245	415	1274
246	416	1270
247	417	1266
248	418	1263
249	420	1260
250	421	1257
251	422	1254
252	423	1251
253	424	1247
254	425	1244
255	426	1240
256	428	1237
257	429	1234
258	430	1230
259	431	1227
260	432	1224
261	433	1221
262	434	1217
263	435	1215
264	437	1212
265	438	1208
266	439	1205
267	440	1202
268	441	1199
269	442	1196
270	443	1193
271	444	1189
272	445	1186
273	446	1183
274	447	1180
275	448	1177
276	450	1174
277	451	1172
278	452	1169
279	453	1166
280	454	1163
281	455	1160
282	456	1157
283	458	1154
284	459	1151
285	460	1148
286	461	1146
287	462	1143
288	463	1140
289	464	1137
290	465	1134
291	466	1132
292	468	1129
293	469	1126
294	470	1123
295	471	1121
296	472	1118
297	473	1115
298	474	1113
299	475	1110
300	476	1107
301	478	1104
302	479	1102
303	480	1099
304	481	1097
305	482	1094
306	483	1092
307	484	1089
308	486	1086
309	487	1084
310	488	1081
311	489	1078
312	490	1076
313	491	1073
314	492	1071
315	493	1068
316	494	1066
317	496	1063
318	497	1061
319	498	1058
320	499	1056
321	500	1054
322	501	1051
323	502	1049
324	504	1047
325	505	1044
326	506	1042
327	507	1039
328	508	1037
329	509	1034
330	510	1032
331	512	1030
332	513	1027
333	514	1025
334	515	1023
335	516	1020
336	517	1018
337	518	1015
338	519	1013
339	520	1011
340	521	1008
341	522	1006
342	524	1004
343	525	1002
344	527	1000
345	528	998
346	529	996
347	530	993
348	531	991
349	532	989
350	533	986
351	534	984
352	535	982
353	537	980
354	538	977
355	539	975
356	540	973
357	541	971
358	542	969
359	544	967
360	545	965
361	546	962
362	547	960
363	548	958
364	549	956
365	550	954
366	551	952
367	553	949
368	554	948
369	555	946
370	556	944
371	557	941
372	559	940
373	560	938
374	562	936
375	563	934
376	564	932
377	565	930
378	566	928
379	567	925
380	568	924
381	570	922
382	571	920
383	572	918
384	573	916
385	574	914
386	576	912
387	577	910
388	578	908
389	579	906
390	580	904
391	582	902
392	583	900
393	584	899
394	585	897
395	586	895
396	588	893
397	589	891
398	590	889
399	591	887
400	592	885
401	594	883
402	595	882
403	596	880
404	597	878
405	599	876
406	600	874
407	601	872
408	602	870
409	603	868
410	604	866
411	605	864
412	607	863
413	608	861
414	609	859
415	610	857
416	611	855
417	613	854
418	614	852
419	616	850
420	617	848
421	618	846
422	619	845
423	620	843
424	621	841
425	623	839
426	624	837
427	625	835
428	626	834
429	627	832
430	629	830
431	630	829
432	631	827
433	632	825
434	634	823
435	635	821
436	636	819
437	637	818
438	638	816
439	639	814
440	640	812
441	642	810
442	643	809
443	644	807
444	646	805
445	647	804
446	648	802
447	650	801
448	651	799
449	652	798
450	654	796
451	655	794
452	656	792
453	658	791
454	659	789
455	660	788
456	661	786
457	662	784
458	663	782
459	665	781
460	666	779
461	667	777
462	669	776
463	670	774
464	671	772
465	673	771
466	674	769
467	675	768
468	676	766
469	677	764
470	678	762
471	680	760
472	681	759
473	682	757
474	683	755
475	684	753
476	685	751
477	686	749
478	687	748
479	689	746
480	690	744
481	691	742
482	692	741
483	693	739
484	694	737
485	695	735
486	696	734
487	697	732
488	699	730
489	700	728
490	701	726
491	702	725
492	703	723
493	704	722
494	706	720
495	707	718
496	708	716
497	709	714
498	710	713
499	711	711
500	712	709
501	713	708
502	714	706
503	715	704
504	717	702
505	718	701
506	719	699
507	720	698
508	721	696
509	722	694
510	724	692
511	725	691
512	726	689
513	727	687
514	728	686
515	729	684
516	730	682
517	731	681
518	733	679
519	734	677
520	735	675
521	736	674
522	737	672
523	738	670
524	739	669
525	740	667
526	741	665
527	742	664
528	744	662
529	745	660
530	746	659
531	747	657
532	748	655
533	749	654
534	750	652
535	751	650
536	753	649
537	754	647
538	755	646
539	756	644
540	757	642
541	758	641
542	760	639
543	761	638
544	762	636
545	763	635
546	764	633
547	765	631
548	766	630
549	768	628
550	769	626
551	770	625
552	771	623
553	772	622
554	773	620
555	775	618
556	776	617
557	777	616
558	779	614
559	780	613
560	781	611
561	782	609
562	783	608
563	784	606
564	786	605
565	787	603
566	788	601
567	789	600
568	790	598
569	791	597
570	793	596
571	794	594
572	795	593
573	797	591
574	798	590
575	799	588
576	800	586
577	802	585
578	803	584
579	804	582
580	805	580
581	807	579
582	808	578
583	809	576
584	810	575
585	811	573
586	812	571
587	813	570
588	814	568
589	816	567
590	817	565
591	818	563
592	819	562
593	820	560
594	821	559
595	822	557
596	823	556
597	825	554
598	826	553
599	827	551
600	828	550
601	829	548
602	830	546
603	831	545
604	832	543
605	833	542
606	835	540
607	836	539
608	837	537
609	838	536
610	839	534
611	840	533
612	841	531
613	842	529
614	844	528
615	845	526
616	846	525
617	847	523
618	848	522
619	849	520
620	850	519
621	852	517
622	853	516
623	854	514
624	855	513
625	856	511
626	857	510
627	858	508
628	859	507
629	860	505
630	862	504
631	863	502
632	864	501
633	865	499
634	866	498
635	867	496
636	869	495
637	870	493
638	871	492
639	872	490
640	873	489
641	874	487
642	875	486
643	876	484
644	878	483
645	879	481
646	880	480
647	881	479
648	883	477
649	884	476
650	885	474
651	887	473
652	888	472
653	889	470
654	890	469
655	892	467
656	893	466
657	894	465
658	896	464
659	898	462
660	899	461
661	900	459
662	902	458
663	903	457
664	905	456
665	906	454
666	907	453
667	909	451
668	910	450
669	911	449
670	913	447
671	914	446
672	915	444
673	916	443
674	917	441
675	919	440
676	920	439
677	921	437
678	922	436
679	923	434
680	925	433
681	926	432
682	927	430
683	928	429
684	930	427
685	931	426
686	932	424
687	933	423
688	934	421
689	935	420
690	936	418
691	938	417
692	939	416
693	941	414
694	942	413
695	943	412
696	944	410
697	946	409
698	948	408
699	949	406
700	950	405
701	951	403
702	952	402
703	953	401
704	955	399
705	956	398
706	957	396
707	958	395
708	960	394
709	961	392
710	962	391
711	963	389
712	964	388
713	966	386
714	967	385
715	968	384
716	969	382
717	970	381
718	971	379
719	973	378
720	974	376
721	975	375
722	976	374
723	977	372
724	978	371
725	979	369
726	980	368
727	981	366
728	982	365
729	984	364
730	985	362
731	986	361
732	988	359
733	989	358
734	990	357
735	991	355
736	992	354
737	993	352
738	994	351
739	995	349
740	996	348
741	998	347
742	999	345
743	1000	344
744	1001	342
745	1002	341
746	1003	339
747	1004	338
748	1005	337
749	1007	335
750	1008	334
751	1009	332
752	1010	331
753	1011	330
754	1012	328
755	1014	327
756	1015	325
757	1016	324
758	1018	323
759	1019	321
760	1020	320
761	1021	319
762	1022	317
763	1024	316
764	1025	314
765	1026	313
766	1027	312
767	1028	310
768	1029	309
769	1031	308
770	1032	306
771	1033	305
772	1034	303
773	1035	302
774	1037	301
775	1038	299
776	1039	298
777	1040	296
778	1041	295
779	1043	294
780	1044	292
781	1045	291
782	1046	290
783	1047	288
784	1049	287
785	1050	285
786	1051	284
787	1052	283
788	1053	281
789	1054	280
790	1056	279
791	1057	277
792	1059	276
793	1060	275
794	1062	273
795	1063	272
796	1064	271
797	1065	269
798	1066	268
799	1068	267
800	1069	265
801	1070	264
802	1071	262
803	1072	261
804	1073	260
805	1074	258
806	1076	257
807	1077	255
808	1078	254
809	1079	253
810	1080	251
811	1081	250
812	1082	249
813	1084	247
814	1085	246
815	1086	244
816	1087	243
817	1088	242
818	1089	240
819	1090	239
820	1092	238
821	1093	236
822	1094	235
823	1095	233
824	1096	232
825	1097	231
826	1098	229
827	1100	228
828	1101	227
829	1102	225
830	1103	224
831	1104	223
832	1105	221
833	1106	220
834	1108	218
835	1109	217
836	1110	216
837	1111	214
838	1112	213
839	1113	212
840	1114	210
841	1115	209
842	1117	208
843	1118	206
844	1119	205
845	1121	204
846	1122	202
847	1123	201
848	1124	200
849	1125	198
850	1127	197
851	1128	195
852	1129	194
853	1130	193
854	1132	192
855	1133	190
856	1134	189
857	1136	188
858	1137	186
859	1138	185
860	1139	184
861	1141	182
862	1142	181
863	1143	180
864	1145	178
865	1146	177
866	1147	176
867	1149	174
868	1150	173
869	1151	172
870	1152	170
871	1154	169
872	1155	168
873	1156	166
874	1157	165
875	1159	164
